ticker,price,price_percentage_change_24h
ETH,3323.1,-2.4027066794717
SOL,156.99,-2.35118492256018
BTC,101484.32,-1.79998918181527
ADA,0.535,-1.03588605253422
DOGE,0.16313,-1.85898207195283
XRP,2.2174,-5.20690834473324
ATOM,2.7,2.31148162182645
